id,name,decription
bike,Велосипедная дорожка,
circledvish,Кольцевое движение,
dangerous,Опасность,
dangpovorot,Опасный Поворот,
dvish,Движение прямо,
dvisheniegruzzap,Движение грузового транспорта запрещено,
dvisheniezap,Движение запрещено,
dvishleft,Движение влево,
dvishright,Движение вправо,
glavroad,Главная дорога,
kid,Осторожно дети,
kirpich,Кирпич,
konogruzzap,Конец запрета обгона грузового транспорта,
konzapobg,Конец запрета обгона,
left,Влево,
nerovroad,Неровная дорога,
obgongruzzap,Обгон грузовым автомобилям запрещен,
obgonzap,Обгон запрещен,
obzleft,Объезд слева,
obzright,Объезд справа,
pryamoleft,Движение прямо и налево,
pryamoright,Движение прямо и направо,
right,Вправо,
roadwork,Дорожные работы,
scolsroad,Скользкая дорога,
snow,Снег,
stop,Стоп,
suzroad,Сужение дороги,
svetoforreg,Светофорное регулирование,
ustupiroad,Уступи дорогу,
wildanimal,Осторожно дикие животные,
z20,Ограничение скорости 20,
z30,Ограничение скорости 30,
z50,Ограничение скорости 50,
z60,Ограничение скорости 60,
z70,Ограничение скорости 70,
z80,Ограничение скорости 80,
z100,Ограничение скорости 100,
z120,Ограничение скорости 120,
zz80,Конец ограничения максимальной скорости,